hmo_licence_reference,pcd,lat,long
HMOM/21/65077,NW2 1SJ,51.5642,-0.2077
HMOM/21/64702,NW2 1PU,51.5635,-0.2141
HMOM/21/65199,N12 7NN,51.6132,-0.1781
HMOME/21/65209,EN4 8RW,51.6498,-0.1726
HMOM/21/65087,NW11 0JL,51.5804,-0.2036
HMOME/21/63960,N3 3BD,51.5911,-0.1921
HMOM/21/65080,NW2 2AD,51.5652,-0.1994
HMOM/21/63687,N12 7EA,51.6224,-0.1839
HMOM/21/65086,N11 3EX,51.6154,-0.1504
HMOM/21/65093,NW9 7AA,51.576,-0.2376
HMOME/21/63950,N3 3BD,51.5911,-0.1921
HMOM/22/65718,NW4 3DE,51.5814,-0.2281
HMOM/20/63567,NW11 8TN,51.5635,-0.2133
HMOME/21/63833,EN5 2HE,51.6521,-0.1987
HMOME/21/65125,NW7 2JP,51.6116,-0.2465
HMOME/21/63963,N3 3BD,51.5911,-0.1921
HMOM/21/64090,NW9 7AT,51.5746,-0.2384
HMOM/21/65256,NW4 2AD,51.5863,-0.2191
HMOM/21/65292,NW11 7ET,51.5789,-0.1972
HMOME/21/65307,EN4 8RW,51.6498,-0.1726
HMOAA/21/63821,N11 1HN,51.6226,-0.1488
HMOAA/21/63886,N20 0TN,51.6294,-0.1614
HMOM/21/64126,NW2 3LL,51.5559,-0.2124
HMOM/21/64279,N3 3HP,51.5965,-0.198
HMOM/21/65340,NW11 9BN,51.5749,-0.2033
HMOAA/21/63815,N2 0NJ,51.5898,-0.1696
HMOME/21/63967,N3 3BD,51.5911,-0.1921
HMOME/21/63946,N3 3BD,51.5911,-0.1921
HMOM/21/65050,NW11 9EJ,51.5734,-0.2108
HMOM/21/65051,N3 1PD,51.6077,-0.1913
HMOAA/21/63780,NW11 0PU,51.5811,-0.1994
HMOM/21/64688,NW9 5DL,51.5921,-0.257
HMOM/21/65073,NW2 2AL,51.5665,-0.2002
HMOM/21/64589,HA8 9EY,51.6097,-0.2601
HMOM/22/65462,NW2 2AP,51.5655,-0.198
HMOM/21/63938,NW7 2JP,51.6116,-0.2465
HMOME/21/63998,EN5 4LS,51.6565,-0.2026
HMOM/21/64453,NW2 1AH,51.5697,-0.2191
HMOM/21/65238,N3 1QR,51.6045,-0.1905
HMOME/20/63581,N3 1SN,51.5979,-0.204
